reviewStar,reviewText
1,The No Wipe Topcoat had congealed while it was in the bottle.  It came out with a big clump of gel attached to the brush. After I pulled it off there were still hard pieces stuck to the brush.  I watched a lot of videos on this product before buying and the topcoat was smooth and said to even be a little thin. This was the opposite of my experience. I can't use the topcoat.
1,Both the brushes HARDENED as soon as we started to use them!! We have purchased many topcoat and basecoat and never did the brush hard in like a rock very disappointed I want my money back
1,"I had a horrible reaction to this gel. The first few times I used it were okay, but then my fingers blistered and peeled and my nails separated from the nail bed. It was very painful and took months for everything to grow out and return to normal."
1,"Please do not buy this product. First time using it, once I was all done (even cured my nails under light four times) it came COMPLETELY off. Worst formula ever. Do not waste money!"
1,one of the bottles came completely empty.
1,"After using this one time the top coat became very sticky and became a little hard, totally unusable! I don't know if I received a bad bottle or if it was old but unfortunately I would not recommend this product."
1,"Unfortunately this product fits the saying, you get what you pay for. Cheaply sold, cheaply made."
1,"I have tried so many brands of top coats and they all seem to dry out the brush in no time.  Very frustrating.  I've had good luck with this brand in nail polish so I thought I'd give them a try but I'm disappointed.  Once the brush is stiff you might as well throw it away, it's useless!"
1,I don't like this top and base. wasting of my money
1,Dislike
1,So clumpy! Very disappointed especially in the top coat. Opened for first time and defective
1,My nails were infected from this and my nails are separated from the beds...will not ever purchase again
1,"The polish have a nice shine and may or may not last - I've been unable to leave it for even a week the 2 times I've attempted to use it. I am not using any harsh chemicals or anything that would stain them. It is the polish. Easter/early Springtime and I'm attempting to use pastel colors - unfortunately within a day or 2, my nails look dingy brown/grey.. I can remove some of the discoloration by scrubbing with an alcohol pad - but I shouldn't have to do this daily to keep a manicure looking nice. After scrubbing the stains off 2-3 separate times, they continue to look dingy, dirty, discolored.I'll try to continue to use what I have, but only over dark polish.I would not recommend"
1,So disappointed the clear coat started peeling/lifting after a few days
1,"the top coat literally does not last long at all, within A DAY it will wear off and the paint on the corners of my acrylic nails fades off and my entire manicure gets ruined within a week😐"
1,Leaked everywhere. Such a mess. Had to throwaway.
1,"This top coat is awful. It peels off after a couple days. I used a different top coat on my other nails, and this is the only one that has peeled off."
1,"Really disappointed, my nails peeled and chipped the very next day. Don’t waste your money."
1,Bottles were broken at the cap. Bottles spilled out the contents. Was not able to be used. Very disappointed
1,"I am so disappointed in my purchase. I was so looking forward to a good base and top coat gel polish.  I like the smoothness of both but after the first manicure, I opened the top coat gel polish and the brush was hard as a brick. I tried everything to clean it, but to no avail.  Therefore, I could not use it again!  I had to improvise and use a different brush that another company had sent with other orders I had made in the past.  Still, not a good way to work on your nails.  I just don’t know what or who is reliable to order my nail products from.  This is not the 1st time this has happened to me. Different company...same results.  I understand that the gel top coat and base coat can over time get hardened but I had just bought it!  Should have lasted more than one usage.  Waste of money."
1,This product was dried up completely in one bottle and almost completely dry in the 2nd bottle. So I couldn't use it at all. So not sure if it works or not.
1,I had an allergic reaction to at least on of these products. So if you are allergy prone try another brand
1,Horrible product and turned the nail polish color a weird blue tint!!!
1,The top coat leaked and the top will not come off. What a waste of money
1,Complete garbage. Doesn't cure and remains tacky. Waste of time and money.
1,The worst it turns blue then green leaves yellow tinge gross
1,If I could I would give it 0 stars. This product is toxic crap. It caused burning and cracking of skin and onychomycosis (a fungal infection of the nail) that is still giving me problems with my thumbnail three weeks after using it.
1,I use plenty top coat but this is the worst by far
1,"Thus is awful top coat, when it deys under lamp, it is blotchy and if you put a 2nd coat, it will dry like it has missing polish in spots."
1,I hate this product. I have used this twice and I’m throwing it out. I got a little of the top coat on my thumbs- after the gel set my skin burned- peeled and was totally painful. Tried it one more time and now one finger raw and burns- worst ever!!
1,I got this product because I am a beginner at doing acrylic nails and I thought this gel polish would be good. These hell polishes smell very chemically and as soon as i put my nails in to cure my finger nails starting burning. I thought it may have been my nail lamp but it was not. I do not recommend.
1,This top coat sucks. It gets so cloudy and it doesn’t shine
1,I use Gel polish all the time this must have been miss manufactured as it simply doesn't work after you cure it it leaves tons of spots that never cover the nail.
1,Doesn't work. Peels clean off
1,The brushes arrived hard and dry! Very disappointed in this product.
1,I was finishing my nails with the top coat when the brush just turned hard. My AC was on and I guess the slightest breeze dried it out. Can no longer use unfortunately. Bottom coat seems fine
1,"Used it twice. By the second time, the product had already become a useless gooey substance.Waste of money."
1,Nail polish always peels off. Gave me a nail fungus and causes water damage. Destroyed my nails. AVOID!
1,"It is clumpy and didn’t even dry all the way through, now my nails are smudged.Está muy gruesa y no se secaron bien mis uñas."
1,"Poor quality - even after basecoat dries, it remains sticky, and all kinds of fuzz and hair stick to my nails. Returning."
1,Not happy. Top coat dried up quickly and brush fell out. Very disappointed. 😡
1,The nail brush applicator broke on the first use. Horrible. Cheaply made.
1,"This is, hands down the worst gel polish I’ve ever used. It won’t let my gel polish dry no matter how long I leave it under the UV light. It’s so messy and takes forever to dry. DO NOT BUY!"
1,Horrible does not keep product on my nails
1,The base coat works fine but the top coat does not seal. Little gaps appear and there’s no way to get rid of them unless you use another top coat over it. Which defeats the purpose of getting this too coat
1,"Polish was awful, it was thick and difficult to apply because it didn’t flow from the brush...it globbed. I did use the curing light-thinking it might kind of smooth out a bit??  and it took 4-5 mins  (supposed to take ONE minute!!)  to make it “seem” ok but it never did completely dry. HUGE waste of my money and my time"
1,This is the worst gel I've ever used. Doesnt really fully harden.  Peels off. Not durable at all. Do not reccommend!!
1,Updating my review**** it leaks and it rusted off so it’s constantly leaking and it got thick not good !
1,Received today and not sure if this is oldProduct but I can’t get the top coat bottle open not sure but it’s definitely defective
1,Horrible product.
1,"I used this product once without any problems, but on the second use my fingertips started to itch and burn. I thought maybe it was because I got the top coat slopped over (which I usually do) so I waited until the next day to decide if I needed to remove it from my nails.  That morning my fingers were itching and fingertips really sore and hot so I quickly removed the polish.  That was a week ago and my fingertips are still sore. If you have any sensitivity in your hands, DO NOT USE THIS PRODUCT!!"
1,Was very upset with this product...too thick to use. seemed like it was old and sitting in the bottle for quite a long time will not buy again
1,"FOR SOME REASON THESE DID NOT CURE , I had them under a 64 watt led lamp for over 5 minutes and they didn’t not cure ! They remained sticky , waste of money!"
1,I’ve been using gel nail sets for quite a while but this base coat really sucks. It’ll move and clump up on the middle of your nail so by the time you get to your pinky your thumb has to be brushed again if you want full coverage. I haven’t had this problem with other gel base coats.
1,"Does not come off well, damaged my nails every time."
1,Didn’t work well at all
1,"Don’t buy this!! My fingers hurt so badly, severe allergic reaction! Not okay"
1,This gel nail polish clogges up on your nail. It doesnt smooth out on your nail. It's clumpy. Not very good. I wouldnt recommend buying this product.
1,After a lot of trial and error with other base coats this one just doesn't last. It chips after only a week of wear.
1,This is crap. It’s too thick and leaves lines no matter what. The price may seem legit but these are junk and start gumming up
1,Horrible product it never dries and smudges almost instantly !
1,So I thought this was what is being used at nail salons but the quality is not similar. It is very poor quality and very disappointing.
1,Terrible product.. doesn't stick to nail bed
1,Awful product. Turned yellow and green within hours.
1,Terrible product. Doesn't last more than three days and it leaks when laying on its side.
1,"I hate this product.  I dont just dislike.  My fingers are hurting very badly tonight. I spent all evening trying to get this off. It is still on my nails. I soaked and soaked in acetone. I even ised a toothbrush on them while soaking them. Would NOT come off. Used a chemial called magic remover and it burned me! I can NOT GET THIS OFF. im so disappointed in this product. I do not reccommend.  I say run! Dont read more. I cant even redo my nails, i have to walk around with this clear base coat on me for no telling how long. This is horrible.  My fingers are so so very sore and stinging and to be stuck like this is horrible."
1,Piled off literally the next morning :(
1,It was used once and about 2 weeks later when I used it it was dried out. It worked Great the first time but very upset it dried out so quickly.
1,"This base coat was unbelievably bad.  It applied smoothly (to freshly washed & cleaned nails that had been wiped clean of residue with alcohol), then as it cured it drew together into raised rivulets, leaving other parts of the nails completely bare. It also went spiky, with little points all over it that gave it a texture like there was sand mixed in. Needless to say, this did not provide a smooth canvas for my manicure, and when two coats of gel polish over it still couldn’t completely smooth it out, my only choice was to put a glitter overcoat over everything to camouflage it. So unimpressed!"
1,Gave me THE worst allergic reaction!! I’ve never had my fingers burn so much!
1,Not good dont buy this
1,"The bottles were almost empty  in both colors, the brush had to be in the deep bottom to be able to have some gel on it, big dispointement."
1,"I looked forward to this product based on reviews. I was disappointed.  It left bubbles, wouldn’t apply evenly, top coat peeled, base coat won’t come off completely, turned my polish brownish, and left my nails damaged."
1,"I bought the base and no-wipe top coat because the price was so reasonable.  The top coat I give five stars.  The base coat is horrible.  It was difficult to remove, which I can live with, but it discolored my nail horribly.  I threw it in the garbage!"
1,"Hate it, bottles are small and it doesn’t even dry even under UV light & I only put one coat."
1,Don’t buy this polish. The top coat has a yellow color and discolors all polish underneath. I was very disappointed!
1,Disappointed with the color.
1,"I have been using gel polish independently the last several years. After using this product twice, my nails eroded and fell off.  I am in extreme pain. Do not buy this product, it is awful!"
1,Not a good  product
1,"Received this duo yesterday, sit down to polish my nails today...and the base coat bottle is empty!!"
1,"Unlike the first one I purchased, this set of gel polish had a scent, almost like a skunk. Very dissatisfied."
1,"Even with the top screwed tightly, the base coat dried in the bottle after the first use."
1,"One of the bottles was broken and the gel was hard, I'm returning them"
1,"Poor quality, was only good the first few uses. Base coat became thick and does not go on smoothly at all. Product quality changes over very short time. Would not recommend. Both me and my sister are allergic to this product. After some use it causes nail bed pain and inflammation."
1,This doesn’t even last I will spend an hour doing my nails the next day I can peel the whole thing right off!!!! What a waste of money!
1,Horrible this lasts me 3-4 days then they come off from the bottom and sides
1,Was very excited about this product so I could play with my new nail powders. However when the box arrived the product box was beaten up and the top coat was completely  missing! The shipping box was untouched and none of my other products were missing or damaged - just this one. Very disappointed!!
1,Not good at all. The base coat doesn’t stay uniform right after you apply it on your nail. It starts leaving blanks and moving! So you have to start reapplying it on each nail and trying to cure it as soon as possible. Top coat is not good either. Doesn’t cure properly even after a longer lamp use. So it’s a little wet and ruins all the layers done. I’d ask for a refund but obviously I’ve used it. Don’t recommend at all
1,"The first few times I used the product it was great, but now I get horrible allergic reactions if I use it. My fingers are swollen, insanely itchy (to the point where I couldn't even sleep), and very painful if I hit them on anything. I threw my gel away! Not worth it to buy cheap gel."
1,"I have used this base coat and no-wipe top coat twice, but no more. I had to leave acetone on for 45 minutes and then scrape off which damaged my nails. They both have an unpleasant smell and my fingers did have a slight burning sensation while curing with an LED lamp. I have three Aimeili color-changing gel polishes and like them; using Gelish base and topcoat, everything removes easily within 15-20 minutes."
1,"I like to keep my nails short and clean. Inpreoped my nails before applying the base, and this gel polish. A couple days later...my fingertips started feeling numb and a bit painful. There were no cuts or any open wounds before applying the polish. The only thing I can think of, is my cuttingy nails short and filing them. I googled to see if there were any known problems and found one case where a women had nerve damage after taking her nails in to a saloon and having then done,using the Gel polish. According to reviews and labels...these things are very toxic with a lot of chemicals! I'll be discarding all the gel polish I purchased and will stick to the regulars. Now I need to see a Neurologist to see if there are any damages. :("
1,"very clumpy and thick, hard to put it on evenly"
1,messy leaking bottles =(missed return window
1,"Do not like, it is very thin."
1,It peeled off within 2 days of application. I followed directions exactly. So disappointed.
1,very bad quality
1,Doesn’t dry and smudge after the fifth time curing it. It smells horrible that it caused me headache. Don’t buy.
1,These are nice looking but possible the worst cutting nail clippers I've ever used. They take a lot of pressure to even get through the nail and leave a jagged edge. I read some amazing reviews and perhaps I just got a bad pair but this pair sucks.
1,These leave nails chipped e v e r y single time. Would NOT recommend or buy again.
1,"After only 2 years, these clippers both rusted and broke"
1,You won't be happy with these.The cutting edges - top vs. bottom - do not line up and will will give a terrible cut.Amazon gave me a full refund and didn't even require a return.I'd say I was not the only one who found these to be defective.
1,Product took way to long to get and the last set did not work good for very long.
1,These are garbage!  They cut extremely rough. You can saw through things with your nails after using these clippers.
1,"I didn't care for these , toe nail clipper wouldn't even cut my fingernails."
1,"Does not cut well and blades are too thick. Clumsy to use. Decided to return, but the return window had expired. 😞"
1,"Glued on scratch pad fell off after a couple of used. Though it cuts, it is dull for clippers even after soaking nails. Unimpressed."
1,Very poor quality and performance.
1,Had them for about two years. The double clicking on both large and small clippers that other reviews mention is legit. It’s annoying and doesn’t always give a clean cut. The pin in the small one just gave out. Time to go back to the grocery store ones I’ve had for 10 years.
1,No better than cheap Walmart ones.
1,"I put the nail clippers on a key chain and the handle is so loose that is always turns sideways in my pocket.  It is too bad because the blades are sharp and the clippers work well, with the one exception that it opens up in the pocket and becomes a total pain.  Maybe I got a defective one."
1,Not any better than cheap clippers.
1,"it is heavy and thick, not able to reach deep in the nail. The two edges are not aligned at all, even worse than those in the dollar store."
1,Not great.
1,These things are dull! They can hardly cut nails and when they do they are jagged and catch on everything. Will not recommend.
1,Maybe I got a bad nail clipper but even the first use would cause my nails to break off and I would jab it on something and it would pull apart.  I hate these clippers ughh
1,Based upon info I thought these clippers would be special! Not special just more expensive. Would not recommend!
1,"Should have read the reviews first. Mine, like many others, did not line up well. Instead of biting through my nails it folded them and broke them. Not comfortable at all.The powder coating is thin and scratches very easily. Mine scratched and lost paint where the handle folds over and pivots on the first use.Had my wife try them to see if I just forgot how to use clippers. Same experience for her as well.Returned after one use. I’ll stick with my cheap Trim brand clippers from Target from here on."
1,Not for thick Senior nails. Doesn’t open wide enough and hard to hold onto while using. Very disappointed can’t recommend.
1,"I am very disappointed in this product. The clippers are hard to hold because they are pretty short so there’s not much to grip. But the worst thing about these clippers is that the blades are SO DULL. My nail felt so jagged afterwards because of the dull blade, so then I had to file each nail which is not something I generally want to spend time on.  They came in a little carrying case but the zipper on the case broke on the first day and we had to use pliers to pull the sides of the case apart."
1,Clippers broke after 3 months.
1,"These are low quality. There cut well for about 4 uses, after that they cut poorly."
1,These are simply terrible. They cut poorly and unevenly. I tried them because the brand I used to buy on Amazon was discontinued.
1,"I paid extra hoping for quality, but I did not receive quality. I was replacing clippers that are 11 years old (I got them in high school). The old worn-out ones are sharper and better than these. Clipping with the large or small clippers in this pack leaves me with split ends. My nails have broken several times since I bought these and I’m am so disappointed."
1,My husband does not like the one for the fingernails.  Very difficult to manipulate and leave sharp edges and easily cuts way to short.  The larger one for the toenails does not cut through thick nails for him.  He does not like this set at all.
1,"There's something wrong with the overall engineering of this product. Both the small and large one has the same problem. They just don't give you the crisp and instant cut feeling in a single move. Instead, you feel like it bends your nail and cuts it, and makes this weird sound at the end. I think the thicker the nails get, the bigger this problem becomes. I don't feel it as much when cutting my children's nails."
1,"I don't like this item. It is too expensive for what it is. It breaks my nails instead of cutting them, leaves jagged edges. Unfortunately, my return window has closed, and now I'm stuck with a $14 nail clipper that I'm not satisfied with.I tried reaching out to the customer services, they were great and tried to help by sending me another clipper, but I had the same problem."
1,Very bad quality
1,Not happy
1,Disappointed. Even the large one has a narrow opening so it is hard to cut my big toe nail. Would NOT but again nor recommend.
1,Very heavy and hard to use.
1,Even tho they are hard to hold (too strong for senior) I have used tried to use about three times.  It just is not a good product. Then today I dropped the large clippers and they broke. The little pen came out and now I have nothing!I have had to long to return to Amazon but should be able to get a refund cause they are guaranteed.
1,Not sharp at all. Grip is horrible and slippery. No good.
1,beautiful box but alas no clippers inside!
1,I am appalled by these clippers being as poorly aligned as ones I bought for a buck at Walmart years ago.  You aught to be ashamed to sell crap like this at such a high price.  I was hoping to get a better clipper.
1,not $14. may be $4. It is hard to cut my nails
1,The clippers are more tearing my nails than cutting them. After using these clippers you see white lines across the end on my nails that are rough and jagged. I have used the clippers three times so this is not from use.
1,These are as bad as the ones for a dollar at Rite Aid. I thought if I invested a little.more money in them they would last a while longer than cheap ones. Nope I was wrong they are crap just like those are. Very mad that no one makes a good pair of clippers that do not dull after one use.
1,Very rough edges on this clippers and they don’t cut well. Not sure why so many people give it high marks. Should have gone to Walgreens and gotten their clippers instead...
1,Big advertisement but nothing different from the really cheap competitors  received in a box that had been returned and sent to me. Would not recommend
1,I was crazy about these when I first used them and bought several pair for my family but they do not stay sharp but for a couple of uses. So disappointed!!!
1,Horrible clippers. Dull from the start. They have trouble with even thin nails. I have arthritis in both hands and I have to press way too hard to cut. Rated a 1 because I couldn't give a 0.
1,It broke in a few months
1,Toe clipper is useless.
1,These clippers are terrible. They break the nails rather than cutting.
1,Did not like it. Didn’t clip well.
1,"nothing to like, inaccurate, clumsy, and a waste of money."
1,"This is the second Harperton clipper set we've purchased.  In both instances they illustration of the clippers made them seem very large - good for difficult fingernails and toenails.  Instead they are smaller than any clippers we've every had.  This time I'm returning the clippers (too late for the first pair-no receipt left).  Very, very disappointed!"
1,"Weak, can't cut at all. Very disappointed"
1,"Large & bulky. The odd overbite design of the clipper creates horrible flakey edge when cutting. Absolute worst clipper, do not buy. I litterally threw out old clippers and pulled them out of the trash to use after buying these..."
1,"These are just like normal drugstore clippers (at half the price).  And they don't seem to cut right, leaving burrs and jagged edges.  I'll keep trying them but I may just chuck them and go back to the corner drugstore.  Very disappointed from the hype in the ads."
1,"The product seemed to be used already. Likely, it was returned and sold again. Very unhappy and not willing to use it on myself due to hygiene concerns."
1,These where very very Dull
1,Cutting is in inconsistent. I bought a Target product (Revlon) at 1/6 the price that does a much better job of trimming my nails. Harperton is a waste of money.
1,Did not clip well.
1,Clippers are out of alignment and cut terribly for me. Would return them if it was an option.
1,Very hard to cut nails except to do a jagged cut - not a nice clean trim.  Very poor and dull.
1,"This is not for people with arthritis in their fingers. Same as the drug store products, only much more expensive. Handle is a little wider, but you still need to exert a lot of pressure to make a cut, even for fingernails."
1,Avoid these! Very stiff and hard cut; resulting in very jagged sharp edges. After several tries and after return date: just threw them in the trash.
1,These seem to be no better than the cheapest kind you can find.  Very disappointed!
1,It's very slippery and does not work like a regular nail clipper.  I had to give them away.  Sorry!
